#ip,#ioc,#feed.name
148.81.111.148,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.149,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.150,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.151,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.152,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.153,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.154,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.155,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.156,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.157,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.158,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.159,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.160,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.161,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.162,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.163,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.164,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.165,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.166,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.167,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.168,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.169,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.170,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.171,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.172,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.173,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.174,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.175,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.176,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.177,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.178,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.179,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.180,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.181,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.182,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.183,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.184,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.185,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.186,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.187,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.188,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.189,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.190,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.191,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.192,sinkhole_certpl_filtered,sinkhole_ip
